payment_id,loan_id,payment_date,amount_paid,payment_status
1,1,2023-03-05,181.79,On-time
2,1,2023-04-04,181.79,On-time
3,1,2023-05-04,181.79,On-time
4,1,2023-06-03,181.79,Late
5,1,2023-07-03,181.79,On-time
6,1,2023-08-02,181.79,On-time
7,1,2023-09-01,181.79,On-time
8,1,2023-10-01,181.79,Late
9,1,2023-10-31,181.79,On-time
10,1,2023-11-30,181.79,On-time
11,1,2023-12-30,181.79,On-time
12,1,2024-01-29,181.79,On-time
13,1,2024-02-28,0.0,Missed
14,1,2024-03-29,181.79,On-time
15,1,2024-04-28,181.79,Late
16,1,2024-05-28,0.0,Missed
17,1,2024-06-27,181.79,Late
18,1,2024-07-27,181.79,On-time
19,1,2024-08-26,181.79,On-time
20,2,2023-01-28,938.67,On-time
21,2,2023-02-27,938.67,On-time
22,2,2023-03-29,938.67,On-time
23,2,2023-04-28,938.67,Late
24,2,2023-05-28,938.67,On-time
25,2,2023-06-27,938.67,On-time
26,2,2023-07-27,938.67,Late
27,3,2022-07-21,224.25,Late
28,3,2022-08-20,224.25,On-time
29,3,2022-09-19,224.25,Late
30,3,2022-10-19,224.25,On-time
31,3,2022-11-18,224.25,On-time
32,3,2022-12-18,224.25,Late
33,3,2023-01-17,224.25,On-time
34,3,2023-02-16,224.25,Late
35,3,2023-03-18,224.25,On-time
36,3,2023-04-17,224.25,On-time
37,3,2023-05-17,224.25,On-time
38,3,2023-06-16,224.25,On-time
39,3,2023-07-16,224.25,On-time
40,3,2023-08-15,224.25,On-time
41,3,2023-09-14,224.25,On-time
42,3,2023-10-14,224.25,On-time
43,3,2023-11-13,0.0,Missed
44,3,2023-12-13,0.0,Missed
45,3,2024-01-12,224.25,On-time
46,3,2024-02-11,224.25,On-time
47,3,2024-03-12,224.25,On-time
48,3,2024-04-11,224.25,On-time
49,3,2024-05-11,224.25,Late
50,3,2024-06-10,0.0,Missed
51,3,2024-07-10,224.25,On-time
52,3,2024-08-09,224.25,Late
53,3,2024-09-08,224.25,On-time
54,4,2020-06-10,1801.67,On-time
